key,zh,ms,ja,en,ko
button.copy-url,复制URL,salin URL,URLをコピー,copy URL,URL 복사
button.create,创建,cipta,作成,create,생성
button.deactivate,停用,deaktifkan,非アクティブ化,deactivate,비활성화
button.decrease-font,减小字体,Kecilkan Fon,フォント サイズ縮小,decrease font,폰트 줄이기
button.delete,删除,padam,削除,delete,삭제
button.delete role,删除角色,padam peranan,ロール削除,delete role,역할 삭제
button.delete this appliance,删除此设备,padamkan peralatan ini,この機器を削除,delete this appliance,단말장치 삭제
button.delete user,删除用户,padam pengguna,ユーザー削除,delete user,사용자 삭제
button.detach,分离,lepaskan,連結解除,detach,연결해제
button.detail,明细,butiran,詳細,detail,상세
button.disconnect,断开连接,putuskan sambungan,切断,disconnect,연결끊기
button.download,下载,muat turun,ダウンロード,download,다운로드
button.edit,编辑,edit,修正,edit,수정
button.edit-contact,编辑联系人,edit kenalan,連絡先を編集,edit contact,연락처 편집
button.edit-detail,编辑详情,edit butiran,詳細を編集,edit detail,상세 편집
button.edit-group,更改组信息,Edit Kumpulan,グループ修正,Edit Group,그룹 수정
button.empty,清空,kosongkan,空にする,empty,비우기
button.export,导出,eksport,エクスポート,export,내보내기
button.export-locale-file,导出语言信息,Eksport Fail Lokal,ローケル ファイル抽出,export locale files,로케일파일 추출
button.font-selector,字体选择器,Pemilih Fon,フォント選択,Font Selector,폰트 선택
button.fullscreen,全屏,Skrin Penuh,フルスクリーン,fullscreen,전체화면
button.generate new access token,生成新的访问令牌,Cipta akses token baru,新しいアクセス トークンを生成,generate new access token,새토큰 생성
button.go to home,首页,ke halaman utama,ホームへ移動,go to home,홈으로 이동
button.group,组合,Kumpulan,グループ,group,그룹
button.history,打印记录,Sejarah Cetakan,印刷履歴,print history,인쇄 이력
button.image-download,图片下载,Muat Turun Gambar,イメージ ダウンロード,image download,이미지 다운로드
button.import,导入,import,インポート,import,가져오기
button.import-board,导入面板,Import papan,ボードをインポート,import board,보드 임포트
button.increase-font,增大字体,Besarkan Fon,フォント サイズ拡大,increase font,폰트 키우기
button.info,信息,Maklumat,情報,info,정보
button.init-setting,创建设置,Cipta Tetapan,セットデータ作成,Create Settings,세팅 데이터 생성
button.logout,退出,logout,ログアウト,logout,로그아웃
button.modeller,修改模版,Modeller,モデラー,modeller,모델러
button.need help,需要帮助,perlukan bantuan,何かお困りですか?,need help,도움이 필요하세요?
button.new,新增,Baru,新規,new,신규
button.new-contact,新建联系人,kenalan baru,新しい連絡先,new contact,새 연락처 생성
button.new-group,新组,Kumpulan Baru,新しいグループ,New Group,새 그룹
button.notification-send,通知推送,hantar pemberitahuan,通知を送る,notification send,알림 보내기
button.open-import,导入,Import,読み込み,Import,가져오기
button.open-in-new,在新窗口中打开,buka dalam tetingkap baru,新しいウィンドウで開く,open in new,새창에서 열기
button.profile,当前用户信息,Profil,プロフィール,profile,프로필
button.push message test,推送消息测试,ujian mesej tolak,プッシュメッセージ テスト,push message test,푸시 메시지 테스트
button.receive,接收,terima,受付,receive,접수
button.redo,重做,Ulang,やり直す,redo,되돌리기
button.refresh,刷新,Segar Semula,リロード,refresh,새로고침
button.register,注册,daftar,登録,register,등록
button.register-account,注册账户,,アカウント登録,register,계정 등록
button.register-template,注册模板,daftar templat,テンプレートを登録,register template,템플릿 등록
button.reject,拒绝,Tolak,拒む,Reject,반려
button.release,发布,Lepas,リリース,release,배포
button.reload,刷新,muat semula,再スタート,reload,재시작
button.rename,名称变更,Namakan Semula,名前変更,rename,이름변경
button.request-confirm,审批申请,Selesai,編集完了,Finish,편집완료
button.request-release,申请发布,Selesai,編集完了,finish,편집완료
button.request_active,用户激活,Aktifkan,アカウント アクティブ化要求,Activating,계정 활성화 요청
button.request_role,申请角色,Permintaan Peranan,ロール申請,Request Role,역할 신청
button.reset,初始化,Tetap Semula,リセット,Reset,초기화
button.reset_password,重置密码,Tetap Semula,パスワード リセット,Reset,비밀번호 초기화
button.revert-board-version,还原版本,Kembalikan versi,バージョンを戻す,revert version,버전적용
button.role-list,角色,Senarai Peranan,ロール,Roles,역할
button.save,保存,simpan,保存,save,저장
button.schedule-task,安排任务,jadualkan tugas,jadualkan tugas,schedule task,스케쥴 등록
button.script,脚本,Skrip,スクリプト,script,스크립트
button.security-key registration,安全密钥注册,pendaftaran kunci keselamatan,セキュリティキー登録,security key registration,보안인증키 등록
button.self-confirm,自我审批,Sahkan Sendiri,自己配布,Self confirm,자가 배포
button.send-backward,置到最后端,Hantar Ke Belakang,最背面へ移動,send backward,맨 뒤로 보내기
button.setting,配置,Tetapan,設定,setting,설정
button.setup,配置,Penyusunan,設定,Setup,설정
button.show-zpl,,,ZPL表示,,ZPL 보기
button.sign_in,登录,Log Masuk,ログイン,Login,로그인
button.sign_up,申请账户,Daftar,ユーザー登録申請,Sign Up,사용자 등록신청
button.start,开始,mula,開始,start,시작
button.start monitor,启动监视器,mula pemantauan,モニタリング開始,start monitor,모니터링 시작
button.stop,停止,berhenti,停止,stop,종료
button.stop monitor,停止监视器,hentikan pemantauan,モニタリング終了,stop monitor,모니터링 종료
button.submit,提交,hantar,サブミット,submit,제출
button.terminate contract,终止合同,tamatkan,契約解除,terminate,계약 해지
button.toggle-property-panel,切换属性面板,Togol Panel Harta,プロパティパネル表示/非表示,toggle property panel,프로퍼티 패널 표시/숨김
button.toggle_sidebar,菜单切换,Togol Menu,メニュー トグル,Menu Toggle,메뉴 토글
button.transfer owner,转让所有权,pindah pemilik,管理者付与,transfer owner,관리자 부여
button.undo,撤销,Buat Asal Semula,取り消す,undo,실행취소
button.ungroup,取消组合,Buka Kumpulan,グループ解除,ungroup,그룹 해제
button.unschedule-task,取消安排任务,batalkan jadual tugas,batalkan jadual tugas,unschedule task,스케쥴 취소
button.update,更新,Kemaskini,修正,update,수정
button.upload,上传,Muat Naik,アップロード,Upload,업로드
button.version-up,版本升级,Naik Versi,バージョンアップ,version up,버전 업
button.view,查看,Lihat,見る,view,보기
button.view-short,查看,Lihat,見る,view,보기
button.view_release_note,查看发布说明,Lihat catatan rilis,リリースノートを見る,view release note,릴리즈노트 보기
button.zoom-in,放大,Zum Masuk,ズーム イン,zoom in,줌 인
button.zoom-out,缩小,Zum Keluar,ズーム アウト,zoom out,줌 아웃
component.3d-container,3D容器,3D container,3Dコンテナ,3D container,3D 컨테이너
component.audio,音频,audio,オーディオ,audio,오디오
component.banner,横幅,banner,バナー,banner,배너
component.bar-chart,条形图,carta bar,バー チャート,bar chart,바 차트
component.barcode,条码,barcode,バーコード,barcode,바코드
component.barcode-scanner,条码扫描仪,penyelakuan barcode,バーコードスキャナー,barcode-scanner,바코드 스캐너
component.both arrow,双向箭头,kedua-dua anak panah,両方の矢印,both arrow,양방향 화살표
component.button,按钮,butang,ボタン,button,button
component.camera,摄像机,camera,カメラ,camera,카메라
component.chartjs,图表,carta,チャート,chart,차트
component.clock-analog,模拟时钟,jam analog,アナログ時計,analog clock,아나로그 시계
component.clock-text,数字时钟,jam digital,デジタル時計,digital clock,디지털 시계
component.clone,克隆,klon,クローン,clone,복제기
component.color image,彩色图像,gambar berwarna,カラー画像,color image,컬러 이미지
component.compass,指南针,kompas,コンパス,compass,나침반
component.connection-control,连接控制,kawal sambungan,接続制御,Connection control,커넥션 컨트롤
component.connection-state-subscription,连接状态订阅,langganan status sambungan,接続状態のサブスクリプション,Connection state subscription,커넥션 상태 구독
component.container,容器,kontena,コンテナ,container,컨테이너
component.conveyor,传送带,penghantar,コンベア,conveyor,컨베이어
component.conveyor-belt,传送带带,tali pinggang penghantar,コンベアベルト,conveyor-belt,컨베이어 벨트
component.conveyor-join,传送带连接,sambungan penghantar,コンベア結合,conveyor-join,컨베이어 조인
component.conveyor-join-trapezoid,传送带连接梯形,sambungan penghantar trapezoid,コンベア結合台形,conveyor-join-trapezoid,컨베이어 조인 사다리꼴
component.credential,用户信息,maklumat pengguna,ユーザー情報,user info.,사용자정보
component.cube,立方体,cube,立方体,cube,큐브
component.cylinder,圆柱体,cylinder,円柱,cylinder,실린더
component.dash,虚线,dash,ダッシュ,dash,대시라인
component.data-accessor,数据访问器,pencapai data,データアクセサ,data accessor,데이타 접근자
component.data-aggregator,数据聚合器,pengagregat data,データアグリゲーター,data aggregator,데이터 집계자
component.data-enhancer,数据增强器,penguat data,データエンハンサー,data enhancer,데이터 강화자
component.data-list,数据列表,senarai data,データリスト,data-list,데이타리스트
component.data-paginator,数据分页器,pengatur halaman data,データページネーター,data paginator,데이터 페이지네이터
component.data-queue,数据队列,barisan data,データキュー,data queue,데이터 큐
component.data-reducer,数据简化器,pengurang data,データリデューサー,data reducer,데이터 축소자
component.data-splitter,数据分割器,pembahagi data,データスプリッター,data splitter,데이터 분할자
component.data-subscription,数据订阅,langganan data,データサブスクリプション,Data subscription,데이타 구독
component.data-wrapper,数据包装器,pembungkus data,データラッパー,data wrapper,데이터 래퍼
component.desk,桌子,desk,デスク,desk,책상
component.div,区块,div,div,div,div
component.donut,圆环,donut,ドーナツ,donut,도넛
component.doughnut-chart,甜甜圈图,carta donat,ドーナツチャート,doughnut chart,도넛 차트
component.duetimer,双计时器,duetimer,デュアルタイマー,duetimer,만료 타이머
component.ellipse,椭圆,elips,楕円,ellipse,타원
component.embed,嵌入,tanam,埋め込み,embed,embed
component.excel,excel,excel,excel,excel,엑셀
component.fieldset,字段集,fieldset,フィールドセット,fieldset,fieldset
component.form,表单,borang,フォーム,form,form
component.gantt,gantt,gantt,gantt,gantt,간트차트
component.gauge-circle,圆形仪表盘,meter bulat,円形ゲージ,circle gauge,원형 게이지
component.gauge-horizon,水平仪表盘,meter mendatar,水平ゲージ,horizontal gauge,수평 게이지
component.gauge-vertical,垂直仪表盘,meter menegak,垂直ゲージ,vertical gauge,수직 게이지
component.gif image,GIF图像,gambar gif,GIF画像,gif image,GIF 이미지
component.gif-view,GIF视图,paparan gif,GIFビュー,gif-view,GIF 뷰
component.global-ref,全球引用,rujukan global,グローバル参照,global reference,글로벌 레퍼런스
component.gltf-object,gltf对象,gltf-object,gltfオブジェクト,gltf-object,GLTF 오브젝트
component.gmap-marker,谷歌地图标记,Penanda Google Map,グーグルマップ マーカー,gmap marker,구글맵 마커
component.gmap-path,谷歌地图路径,Laluan Google Map,グーグルマップ パス,gmap path,구글맵 경로
component.google-map,谷歌地图,Google Map,グーグルマップ,google map,구글맵
component.graphql-client,GraphQL 客户端,Klien GraphQL,GraphQL クライアント,GraphQL client,graphql 클라이언트
component.graphql-mutation,GraphQL 变更,Mutasi GraphQL,GraphQL ミューテーション,GraphQL mutation,graphql 뮤테이션
component.graphql-query,GraphQL 查询,Kuiri GraphQL,GraphQL クエリ,GraphQL query,graphql 쿼리
component.graphql-subscription,GraphQL 订阅,Langganan GraphQL,GraphQL サブスクリプション,GraphQL subscription,graphql 구독
component.gray image,灰色图像,gambar kelabu,グレー画像,gray image,흑백 이미지
component.group,组,kumpulan,グループ,group,그룹
component.half-roundrect,单边圆角矩形,segi empat dengan bulatan sebelah,片面ラウンドの四角形,single-side rounded rect.,단면 라운드 사각형
component.horizontal-bar-chart,水平条形图,carta bar mendatar,水平バー チャート,horizontal bar chart,수평바 차트
component.html-date,HTML 日期,tarikh HTML,HTML日付,html date,html-date
component.html-label,HTML 标签,label HTML,HTMLラベル,html label,html-label
component.icon-embed,,,,,icon-embed
component.icon-radio-group,,,,,icon-radio-group
component.icon-video,,,,,icon-video
component.iframe,内联框架,iframe,iframe,iframe,iframe
component.image-slider,图像滑块,slider imej,画像スライダー,image slider,이미지 슬라이더
component.image-view,图像视图,paparan imej,イメージビュー,image-view,이미지
component.img,图像,img,画像,img,img
component.indoor-map,室内地图,peta dalaman,屋内マップ,indoor-map,실내맵
component.info-window,信息窗口,tingkap maklumat,情報ウィンドウ,info window,인포윈도우
component.input-checkbox,复选框,checkbox,チェックボックス,checkbox,input-checkbox
component.input-color,颜色输入,input warna,カラー入力,color input,input-color
component.input-date,日期输入,input tarikh,日付入力,date input,input-date
component.input-datetime-local,输入-日期时间-本地,input-datetime-local,入力-日時-ローカル,input-datetime-local,input-datetime-local
component.input-email,电子邮件输入,input emel,メール入力,email input,input-email
component.input-file,文件输入,input fail,ファイル入力,file input,input-file
component.input-month,月份输入,input bulan,月入力,month input,input-month
component.input-number,数字输入,input nombor,数値入力,number input,input-number
component.input-password,密码输入,input kata laluan,パスワード入力,password input,input-password
component.input-radio,单选框,input radio,ラジオ入力,radio input,input-radio
component.input-range,范围输入,input julat,範囲入力,range input,input-range
component.input-reset,重置输入,input set semula,リセット入力,reset input,input-reset
component.input-search,搜索,cari,検索,search,input-search
component.input-submit,提交,hantar,送信,submit,input-submit
component.input-text,文本输入,input teks,テキスト入力,text input,input-text
component.input-time,时间输入,input masa,時間入力,time input,input-time
component.jsonp,jsonp,JSONP,JSONP,jsonp,jsonp
component.label,标签,label,ラベル,label,라벨
component.label-printer,标签打印机,pencetak label,ラベルプリンター,label-printer,라벨프린터
component.legend,图例,legenda,凡例,legend,레전드
component.light,灯光,light,ライト,light,조명
component.line,线条,garis,ライン,line,선
component.line-chart,折线图,carta garisan,ラインチャート,line chart,라인 차트
component.link,链接,pautan,リンク,link,link
component.local-ref,本地引用,rujukan tempatan,ローカル参照,local reference,로컬 레퍼런스
component.marker,标记,penanda,マーカー,marker,마커
component.md-dialog,对话框,Dialog,ダイアログ,Dialog,다이얼로그
component.md-fab,浮动操作按钮,Butang Tindakan Terapung,フローティング アクション ボタン,Floating Action Button,플로팅 액션 버튼
component.mixed-chart,混合图,carta campuran,混合チャート,mixed chart,혼합 차트
component.model-layer,画布,kainvas,キャンバス,canvas,캔바스
component.news-ticker,新闻滚动条,ticker berita,ニュースティッカー,news ticker,뉴스 티커
component.ortholine,正交线,ortolin,オーソライン,ortholine,직교라인
component.pdf-page,PDF页面,pdf page,PDFページ,PDF page,PDF 페이지
component.pie-chart,饼图,carta pai,パイチャート,pie chart,파이 차트
component.polar-area-chart,极区图,carta kutub,ポーラチャート,polar area chart,폴라 차트
component.polygon,多边形,poligon,ポリゴン,polygon,다각형
component.polyline,多段线,polilin,ポリライン,polyline,폴리라인
component.polypath,多边路径,laluan pelbagai,ポリパス,polypath,다중경로
component.popup,弹出窗口,popup,ポップアップ,popup,팝업
component.progress-circle,圆形进度,lingkaran kemajuan,サークル進捗,progress circle,원형 프로그레스
component.progress-horizontal,水平进度,kemajuan mendatar,水平進捗,progress horizontal,수평 프로그레스
component.progress-vertical,垂直进度,kemajuan menegak,垂直進捗,progress vertical,수직 프로그레스
component.rack,机架,rak,ラック,rack,랙
component.rack-table,机架表,rack table,ラックテーブル,rack table,rack 테이블
component.radar-chart,雷达图,carta radar,レーダーチャート,radar chart,레이다 차트
component.radio-group,单选按钮组,kumpulan radio,ラジオグループ,radio group,radio-group
component.random,随机,rawak,ランダム,random,랜덤
component.rect,矩形,segi empat,矩形,rect,사각형
component.restful,restful,restful,restful,restful,restful
component.scanner,扫描仪,pemindai,スキャナ,scanner,스캐너
component.scenario-control,场景控制,kawal senario,シナリオ制御,Scenario control,시나리오 컨트롤
component.scenario-instance-subscription,场景实例订阅,langganan contoh senario,シナリオインスタンスのサブスクリプション,Scenario instance subscription,시나리오 인스턴스 구독
component.scenario-queue-subscription,场景队列订阅,langganan barisan senario,シナリオキューサブスクリプション,Scenario queue subscription,시나리오 큐 구독
component.scenario-run,运行场景,jalankan senario,シナリオ実行,Run scenario,시나리오 실행
component.scenario-start,开始场景,mula senario,シナリオ開始,Start scenario,시나리오 시작
component.scenario-stop,停止场景,hentikan senario,シナリオ停止,Stop scenario,시나리오 종료
component.scichart-multiple-timeseries,多图表 时间序列,masa siri berbilang carta,マルチチャート タイムシリーズ,multiple timeseries,다중차트 타임시리즈
component.scichart-timeseries,时间序列,siri masa,タイムシリーズ,timeseries,타임시리즈
component.select,选择,pilih,セレクト,select,select
component.simple-switch,简单开关,penyuisan mudah,シンプルスイッチ,simple switch,스위치
component.single arrow,单箭头,anak panah tunggal,単一矢印,single arrow,단방향 화살표
component.soap-client,SOAP 客户端,klien SOAP,SOAPクライアント,soap client,soap-client
component.sphere,球体,sphere,球体,sphere,구체
component.sprite,精灵,sprite,スプライト,sprite,스프라이트
component.star,星形,bintang,星,star,별
component.svg,SVG,svg,SVG,svg,SVG
component.tab,标签,tab,タブ,tab,탭
component.tab-container,标签容器,bekas tab,タブコンテナ,tab container,탭 컨테이너
component.table,表格,jadual,テーブル,table,테이블
component.table-cell,表格单元格,sel jadual,テーブルセル,table cell,테이블 셀
component.tact-timer,工艺标准时间计时器,pemasa masa standard proses,工程標準時間タイマー,tact timer,공정표준시간 타이머
component.text,文本,teks,テキスト,text,텍스트
component.textarea,文本域,textarea,テキストエリア,textarea,textarea
component.timer,计时器,pemasa,タイマー,timer,타이머
component.triangle,三角形,segitiga,三角形,triangle,삼각형
component.video,视频,video,ビデオ,video,비디오
component.visualizer,可视化器,visualizer,ビジュアライザ,visualizer,비쥬얼라이저
component.wall,墙,wall,壁,wall,벽체
component.wheel-sorter,轮式分拣器,pengisih roda,ホイールソータ,wheel-sorter,휠소터
error.MAX_LENGTH_OF_X_IS_Y,{name}的最大长度是 {value}。,Panjang Maksimum {name} adalah {value},{name}の最大の長さは{value}です.,Maximum Length of {name} is {value},{name}의 최대 길이는 {value} 입니다.
error.SERVER-ERROR,发生了服务端错误。({msg}),Ralat berlaku di pelayan. ({msg}),サーバーでエラーが発生しました.({msg}),An error occurred at the server.({msg}),서버에서 에러가 발생했습니다.({msg})
error.SHOULD_NOT_BE_EMPTY,值'{value}'不能为空值。,Nilai '{value}' tidak boleh kosong,値'{value}'が空の値であってはなりません.,value '{value}' should not be empty,값 '{value}'이 빈값이면 안됩니다.
error.auth error,认证错误。{message},ralat pengesahan. {message},認証エラー。{message},auth error. {message},인증 오류. {message}
error.authn verification failed,用户认证失败。,pengesahan kelayakan pengguna gagal.,ユーザー認証に失敗しました。,user credential verification failed.,사용자 자격 증명을 실패하였습니다.
error.board name is already taken,板块名称 '{name}' 已被占用。请使用其他板块名称重试。,Nama papan '{name}' sudah diambil. Sila cuba semula dengan nama papan yang berbeza.,ボード名 '{name}' は既に使用されています。別のボード名で再試行してください。,Board name '{name}' is already taken. Pls. retry with different board name.,'{name}' 보드 이름이 이미 사용중입니다. 다른 이름으로 다시 시도해주세요.
error.confirm password not matched,新密码与确认密码不匹配！,Kata laluan baru dan pengesahan kata laluan tidak sepadan,新しいパスワードと確認パスワードが一致しません.,new password and confirm password is not matched,새 비밀번호와 확인 비밀번호가 일치하지 않습니다.
error.contact-email-not-set,ID为{contactId}的联系人没有设置工作邮箱。,Kenalan dengan ID {contactId} tidak mempunyai emel kerja yang ditetapkan.,ID {contactId} の連絡先には勤務用のメールアドレスが設定されていません。,The contact with ID {contactId} does not have a work email set.,연락처({contactId})에 이메일(work) 정보가 없습니다.
error.contact-information-required,该员工需要联系信息。,Maklumat hubungan diperlukan untuk pekerja ini.,この従業員には連絡先情報が必要です。,Contact information is required for this employee.,해당 직원의 연락처 정보가 필요합니다.
error.contact-initial-password-required,必须提供初始密码或默认密码。,kata laluan awal atau kata laluan lalai mesti disediakan.,初期パスワードまたはデフォルトパスワードが提供される必要があります。,An initial password or default password must be provided.,초기 비밀번호나 디폴트 비밀번호가 제공되어야 합니다.
error.contact-not-found,无法找到ID为{contactId}的联系人。,Kenalan dengan ID {contactId} tidak dapat ditemui.,ID {contactId} の連絡先が見つかりません。,Contact with ID {contactId} could not be found.,연락처({contactId})를 찾을 수 없습니다.
error.contact-role-not-found,在域中找不到角色'{roleName}'。,Peranan '{roleName}' tidak dapat ditemui dalam domain.,ドメイン内で役割'{roleName}'が見つかりませんでした。,The role '{roleName}' could not be found in the domain.,'{name}'라는 이름의 역할이 정의되어 있지 않습니다.
error.count over license limit,您的看板或子域数量超过了许可证限制！,Bilangan papan atau domain anda melebihi had lesen!,ライセンスで規定したボードまたはドメイン数量を超えました!,Your board or domain count over license limit!,라이선스에서 규정한 보드 또는 도메인 수량을 초과 하였습니다!
error.domain mismatch,证书不适用于该域！,Sijil tidak sesuai untuk domain ini,証明書のドメインと現在のドメインが一致しません.,certificate is not for this domain,인증서의 도메인과 현재 도메인이 일치하지 않습니다.
error.domain not allowed,您无权限使用此域,anda tidak dibenarkan akses domain ini,'{subdomain}'領域はこのユーザーに許可されていません.,this domain is not allowed for you,'{subdomain}' 영역은 이 사용자에게 허가되지 않았습니다.
error.email already exists,电子邮件已被其他用户使用！,Emel telah digunakan oleh pengguna lain,メールはすでに他のユーザーによって使用されています.,email already used by another user,이메일이 이미 사용되고 있습니다.
error.employee-already-registered,该员工已注册为系统用户。,Pekerja ini sudah didaftarkan sebagai pengguna sistem.,この従業員はすでにシステムユーザーとして登録されています。,This employee is already registered as a system user.,해당 직원은 이미 시스템 사용자로 등록되어 있습니다.
error.failed to find x,查询{x}失败！,Gagal mencari {x},{x}が見つかりません.,failed to find {x},{x}을(를) 찾을 수 없습니다.
error.invalid license key,无效的许可证密钥！,Kunci Lesen tidak sah!,ライセンスが無効です!,Invalid license key!,라이센스가 유효하지 않습니다!
error.license expiration notice,许可证到期提醒,Notis Tamat Tempoh Lesen,ライセンス満了予定のお知らせ,License Expiration Notice,라이선스 만료예정 알림
error.license key is empty,许可证密钥为空！,Kunci Lesen kosong!,ライセンス情報がありません!,License Key is empty!,라이센스 정보가 없습니다!
error.license key is not certified,许可证密钥未通过认证！,Kunci Lesen tidak disahkan!,ライセンスが認証されていません!,License Key is not certified!,라이센스가 인증되지 않았습니다!
error.license token not valid,您的数据密钥验证失败，系统许可无效！,Data token lesen anda tidak sah!,ライセンス トークン データのテストに失敗しました!,Your license token data is not valid!,라이선스 토큰 데이터 검사에 실패하였습니다!
error.name must be unique from the original board,板块名称 '{name}' 必须与原始板块不同。请使用其他板块名称重试。,Nama papan '{name}' mesti unik dari papan asal. Sila cuba semula dengan nama papan yang berbeza.,ボード名 '{name}' は元のボードと異なる必要があります。別のボード名で再試行してください。,Board name '{name}' must be unique from the original board. Pls. retry with different board name.,'{name}' 보드 이름은 원본 보드의 이름과 다르면서 유일하게 제공되어야 합니다. 다른 이름으로 다시 시도해주세요.
error.new-password-and-confirm-password-do-not-match,新密码与认证密码不同,kata laluan baharu dan pengesahan berbeza,新しいパスワードと確認パスワードが一致しません.,new password and confirm password do not match,새 비밀번호와 확인 비밀번호가 일치하지 않습니다.
error.not allowed file type for upload,{mimetype}是未经允许的上传文件类型。,{mimetype} adalah jenis fail yang tidak dibenarkan untuk dimuat naik.,{mimetype}はアップロードが許可されていないファイルタイプです。,{mimetype} is not an allowed file type for upload.,{mimetype}은 업로드가 허가되지 않은 파일형식입니다.
error.not valid pattern of type,{type}格式错误,tidak sah corak {type},正しい{type}形式ではありません.,not valid pattern of {type},올바른 {type} 형식이 아닙니다.
error.password should be supported,应支持初始密码或默认密码,kata laluan awal atau kata laluan lalai harus disokong,初期パスワードまたはデフォルトパスワードがサポートされるべきです,initial password or default password should be supported,초기 비밀번호나 디폴트 비밀번호가 제공되어야 합니다.
error.password should match the rule,密码应符合以下规则。${rule},Kata laluan harus mematuhi peraturan berikut. ${rule},パスワードは次の規則を守らなければなりません. {rule},password should match following rule. ${rule},비밀번호는 다음 규칙을 지켜야 합니다. {rule}
error.password used in the past,使用过的密码！,Kata laluan telah digunakan dalam masa lampau,過去に使用されたパスワードです.,password used in the past,과거에 사용된 비밀번호입니다.
error.password-not-matched,密码不匹配。 5次失败后，您的帐户将被锁定。(失败次数:{failCount}),salah kata kunci. akaun anda akan dikunci selepas 5 kali percubaan. (gagal: {failCount}),パスワードが一致しません. 5回失敗するとアカウントがロックされます. (失敗: {failCount}),"password not matched. after 5 failures, your account will be locked. (failure: {failCount})",비밀번호가 일치하지 않습니다. 5번 실패하면 계정이 잠깁니다. (실패: {failCount})
error.scenario instance not found,无法找到场景实例 '{instance}'。它可能已经结束。,Tidak dapat mencari instans senario '{instance}'. Mungkin telah berakhir.,シナリオ インスタンス'{instance}'が見つかりません. 既に終了している可能性があります.,scenario instance '{instance}' not found.,시나리오 인스턴스 '{instance}'를 찾을 수 없습니다. 이미 종료되었을 수 있습니다.
error.scenario not found,无法找到场景 '{scenario}'。,Tidak dapat mencari senario '{scenario}'.,シナリオ'{scenario}'が見つかりません.,scenario '{scenario}' not found.,시나리오 '{scenario}'를 찾을 수 없습니다.
error.scenario run error,处理场景 '{scenario}' 请求时发生错误。请联系管理员。,Ralat berlaku semasa memproses permintaan senario '{scenario}'. Sila hubungi pentadbir.,シナリオ '{scenario}' のリクエストを処理中にエラーが発生しました。管理者に連絡してください。,an error occurred while processing the '{scenario}' request. please contact the administrator.,시나리오 '{scenario}' 요청을 처리하는 중 오류가 발생했습니다. 관리자에게 문의하십시오.
error.scenario run unauthorized,没有执行场景 '{scenario}' 的权限。请联系管理员。,Anda tidak mempunyai kebenaran untuk menjalankan senario '{scenario}'. Sila hubungi pentadbir.,シナリオ '{scenario}' を実行する権限がありません。管理者に連絡してください。,you do not have permission to run the '{scenario}' scenario. please contact the administrator.,시나리오 '{scenario}'를 실행할 권한이 없습니다. 관리자에게 문의하십히오.
error.schedule is not set,要注册为计划，场景 '{scenario}' 需要设置计划信息。,"Untuk mendaftarkan sebagai jadual, maklumat jadual mesti diset dalam senario '{scenario}'.",スケジュールとして登録するためにはシナリオ'{scenario}'にスケジュール情報が設定される必要があります.,schedule should be set for the scenario '{scenario}' in order to register as a schedule,스케쥴로 등록하기 위해서는 시나리오 '{scenario}'에 스케쥴 정보가 설정되어야 합니다.
